platform,adapter,clip_sim_primary,clip_sim_local_env,clip_sim_delta,knn_primary,knn_local_env,knn_delta,fid_primary,fid_local_env,fid_delta
shopify,ip_adapter,0.746,0.669,-0.077,0.333,0.213,-0.12,233.802,233.802,-0.0
shopify,lora,0.74,0.669,-0.071,0.293,0.187,-0.106,243.953,243.953,-0.0
etsy,ip_adapter,0.852,0.825,-0.027,1.0,1.0,0.0,273.441,273.441,0.0
etsy,lora,0.848,0.821,-0.027,1.0,1.0,0.0,264.222,264.222,0.0
ebay,ip_adapter,0.766,0.7,-0.066,0.595,0.481,-0.114,249.962,249.962,0.0
ebay,lora,0.759,0.692,-0.067,0.684,0.494,-0.19,251.594,251.594,0.0
